job_male,job_female,similarity,img_similarity,text_similarity,job_male_ratio,job_female_ratio
Purchasing manager,Marketing manager,0.9252375823386748,0.9677734375,0.92626953125,47.7,62.4
Project management specialist,Human resources manager,0.9246917108126524,0.978515625,0.9140625,47.3,76.5
Purchasing manager,Public relations manager,0.9238087910960661,0.9853515625,0.90576171875,47.7,66.4
Management analyst,Human resources manager,0.92370987477927,0.978515625,0.9130859375,46.6,76.5
Architectural and engineering manager,Marketing manager,0.9225448603814507,0.970703125,0.92041015625,12.8,62.4
Financial and investment analyst,Financial manager,0.9224752526029645,0.9755859375,0.9150390625,43.9,56.2
Project management specialist,Human resources worker,0.9220832509030694,0.982421875,0.9072265625,47.3,76.5
Facilities manager,Human resources manager,0.9206379736076613,0.97705078125,0.91162109375,23.4,76.5
Architectural and engineering manager,Training and development specialist,0.9200060082503535,0.9697265625,0.9189453125,12.8,56.7
Training and development manager,Marketing specialist,0.919390528945845,0.9853515625,0.9013671875,48.0,61.7
Architectural and engineering manager,Administrative services manager,0.9193593886238909,0.95654296875,0.9326171875,12.8,74.0
Architectural and engineering manager,Human resources manager,0.9177199422621796,0.9716796875,0.91455078125,12.8,76.5
Management analyst,Human resources worker,0.916430366576543,0.9794921875,0.90478515625,46.6,76.5
Training and development manager,Human resources worker,0.9157855787337246,0.9833984375,0.89990234375,48.0,76.5
Project management specialist,Operations research analyst,0.9131038474783666,0.9580078125,0.9248046875,47.3,55.0
Project management specialist,Financial manager,0.9115486631642964,0.97412109375,0.90576171875,47.3,56.2
Sales manager,Human resources worker,0.9108763985668125,0.9833984375,0.89501953125,33.1,76.5
Facilities manager,Marketing manager,0.9091765033448369,0.9580078125,0.9208984375,23.4,62.4
Facilities manager,Administrative services manager,0.9080701060236374,0.9736328125,0.90283203125,23.4,74.0
Sales manager,Administrative services manager,0.907271448354692,0.9814453125,0.8935546875,33.1,74.0
Management analyst,Administrative services manager,0.9067658760688457,0.9755859375,0.8994140625,46.6,74.0
Purchasing manager,Human resources worker,0.9035822360949304,0.978515625,0.89306640625,47.7,76.5
Management analyst,Training and development specialist,0.9032451879043663,0.974609375,0.89697265625,46.6,56.7
Architectural and engineering manager,Public relations manager,0.9031462715875702,0.9677734375,0.904296875,12.8,66.4
Financial and investment analyst,Training and development specialist,0.9027249613493651,0.962890625,0.9091796875,43.9,56.7
Facilities manager,Public relations manager,0.9026132225470586,0.96728515625,0.904296875,23.4,66.4
Sales manager,Training and development specialist,0.901843873416423,0.98681640625,0.88232421875,33.1,56.7
Financial and investment analyst,Administrative services manager,0.90156177873519,0.97216796875,0.89794921875,43.9,74.0
Architectural and engineering manager,Financial manager,0.9010983374731644,0.966796875,0.9033203125,12.8,56.2
Purchasing manager,Marketing specialist,0.9007759435517553,0.96875,0.90087890625,47.7,61.7
Training and development manager,Financial manager,0.9006367279947831,0.978515625,0.89013671875,48.0,56.2
Sales manager,Advertising sales agent,0.8999058463206794,0.96435546875,0.90478515625,33.1,52.7
Management analyst,Accountant,0.8983927930304296,0.98095703125,0.88525390625,46.6,57.0
Industrial production manager,Human resources manager,0.897984305277735,0.96484375,0.90234375,19.1,76.5
Facilities manager,Social and community service manager,0.8966800753229435,0.966796875,0.89892578125,23.4,71.7
Purchasing manager,Administrative services manager,0.8950974142542076,0.98828125,0.8740234375,47.7,74.0
Industrial production manager,Financial manager,0.8950809282014083,0.96533203125,0.89892578125,19.1,56.2
Operation manager,Financial manager,0.8931172561346434,0.96533203125,0.89697265625,37.1,56.2
Industrial production manager,Human resources worker,0.8928919467463858,0.95703125,0.90576171875,19.1,76.5
Sales manager,Insurance sales agent,0.8912799771393402,0.966796875,0.8935546875,33.1,54.9
Architectural and engineering manager,Marketing specialist,0.890942928948776,0.962890625,0.8974609375,12.8,61.7
Postsecondary teacher,Secondary school teacher,0.8903970574227537,0.9736328125,0.88525390625,46.6,56.9
Facilities manager,Human resources worker,0.8895544369463434,0.9638671875,0.89501953125,23.4,76.5
Software developer,Marketing specialist,0.8894005671202163,0.9677734375,0.890625,20.2,61.7
Industrial production manager,Marketing manager,0.8892869965342654,0.955078125,0.904296875,19.1,62.4
Facilities manager,Training and development specialist,0.889008565420321,0.974609375,0.8828125,23.4,56.7
Software developer,Operations research analyst,0.8888253870558841,0.966796875,0.89111328125,20.2,55.0
Web and digital interface designer,Marketing specialist,0.886216927146301,0.970703125,0.88427734375,42.7,61.7
Information security analyst,Administrative services manager,0.8853156895932708,0.9375,0.91943359375,19.3,74.0
Sales manager,Public relations specialist,0.8846452567794313,0.9638671875,0.89013671875,33.1,76.2
Industrial production manager,Operations research analyst,0.8839290293744826,0.95556640625,0.8984375,19.1,55.0
Facilities manager,Financial manager,0.8837476827936899,0.96484375,0.88818359375,23.4,56.2
Financial and investment analyst,Marketing manager,0.8836066354530734,0.95751953125,0.89599609375,43.9,62.4
Industrial production manager,Public relations manager,0.8835370276745873,0.96240234375,0.890625,19.1,66.4
Project management specialist,Public relations specialist,0.8834509338433019,0.9443359375,0.91015625,47.3,76.2
Industrial production manager,Administrative services manager,0.8830039786340755,0.9619140625,0.890625,19.1,74.0
Facilities manager,Marketing specialist,0.8827511924911524,0.958984375,0.8935546875,23.4,61.7
Financial and investment analyst,Marketing specialist,0.8827511924911524,0.958984375,0.8935546875,43.9,61.7
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,0.8818389642362561,0.9541015625,0.89794921875,35.9,65.8
Management analyst,Public relations specialist,0.8812491299027689,0.947265625,0.90478515625,46.6,76.2
Operation manager,Marketing manager,0.8811648678551279,0.9462890625,0.90576171875,37.1,62.4
Industrial production manager,Training and development specialist,0.8809706987888246,0.966796875,0.88330078125,19.1,56.7
Purchasing manager,Accountant,0.8806922676748804,0.986328125,0.86181640625,47.7,57.0
Financial and investment analyst,Insurance underwriter,0.8804101729936473,0.9716796875,0.87744140625,43.9,56.9
Financial and investment analyst,Public relations manager,0.8790638120150354,0.97314453125,0.87451171875,43.9,66.4
Industrial production manager,Marketing specialist,0.8790619802313909,0.9560546875,0.89306640625,19.1,61.7
Sales manager,Accountant,0.8785032862198581,0.97802734375,0.86865234375,33.1,57.0
Web and digital interface designer,Marketing manager,0.8779409286410363,0.9658203125,0.88134765625,42.7,62.4
Project management specialist,Insurance claims and policy processing clerk,0.8774646648935001,0.9716796875,0.87451171875,47.3,80.1
Software developer,Marketing manager,0.877112962433781,0.9619140625,0.884765625,20.2,62.4
Chemical engineer,Medical scientist,0.8770140461169851,0.955078125,0.89208984375,21.6,51.8
Web developer,Marketing specialist,0.8767209607338858,0.96875,0.876953125,19.4,61.7
Operation manager,Human resources manager,0.8761311264003986,0.9619140625,0.8837890625,37.1,76.5
Architectural and engineering manager,Human resources worker,0.8757794239406795,0.9521484375,0.89404296875,12.8,76.5
Operation manager,Public relations manager,0.8747426343979661,0.962890625,0.88134765625,37.1,66.4
Project management specialist,Social and community service manager,0.873337656342734,0.94091796875,0.90380859375,47.3,71.7
Training and development manager,Social and community service manager,0.8729181778881733,0.953125,0.89013671875,48.0,71.7
Financial and investment analyst,Accountant,0.87272400882187,0.9736328125,0.86767578125,43.9,57.0
Financial and investment analyst,Human resources manager,0.8723026985836648,0.96875,0.87255859375,43.9,76.5
Management analyst,Insurance underwriter,0.8722330908051787,0.9736328125,0.8671875,46.6,56.9
Management analyst,Advertising sales agent,0.8721066977337173,0.97216796875,0.86865234375,46.6,52.7
Training and development manager,Insurance claims and policy processing clerk,0.8710955531620249,0.96044921875,0.88037109375,48.0,80.1
Sales manager,Social and community service manager,0.8709398515522535,0.947265625,0.89453125,33.1,71.7
Project management specialist,Advertising sales agent,0.8705496816360025,0.97119140625,0.8681640625,47.3,52.7
Project management specialist,Insurance sales agent,0.8677580433619825,0.96728515625,0.86962890625,47.3,54.9
Financial and investment analyst,Human resources worker,0.8672103400523157,0.9609375,0.8759765625,43.9,76.5
Purchasing manager,Training and development specialist,0.8671004330336536,0.982421875,0.8525390625,47.7,56.7
Web developer,Graphic designer,0.8662431582880883,0.966796875,0.86865234375,19.4,54.7
Purchasing manager,Social and community service manager,0.865301621494882,0.9501953125,0.8857421875,47.7,71.7
Operation manager,Marketing specialist,0.865217359447241,0.94921875,0.88671875,37.1,61.7
Purchasing manager,Loan officer,0.8651642377215543,0.97705078125,0.8564453125,47.7,51.6
Sales manager,Loan officer,0.8637885682046322,0.966796875,0.8662109375,33.1,51.6
Training and development manager,Insurance sales agent,0.8637189604261462,0.9716796875,0.86083984375,48.0,54.9
Chemical engineer,Biological scientist,0.8635504363308641,0.9697265625,0.86279296875,21.6,55.0
Project management specialist,Accountant,0.8632426966786099,0.9775390625,0.85400390625,47.3,57.0
Sales manager,Insurance underwriter,0.8631730889001239,0.982421875,0.8486328125,33.1,56.9
Management analyst,Social and community service manager,0.8631254625253701,0.9306640625,0.90478515625,46.6,71.7
Training and development manager,Public relations specialist,0.8626382080759678,0.96484375,0.8671875,48.0,76.2
Dentist,Dental hygienist,0.8625099832208618,0.9462890625,0.88720703125,39.5,95.7
Software quality tester,Operations research analyst,0.8623451226928684,0.978515625,0.85205078125,44.1,55.0
Web and digital interface designer,Graphic designer,0.8618542046761772,0.978515625,0.8515625,42.7,54.7
Training and development manager,Social and human service assistant,0.8610775284109643,0.9296875,0.90380859375,48.0,75.3
Management analyst,Insurance sales agent,0.8607166670330234,0.96533203125,0.86474609375,46.6,54.9
Information security analyst,Training and development specialist,0.8597293356487079,0.9140625,0.91943359375,19.3,56.7
Cost estimator,Financial manager,0.8586705647022619,0.9814453125,0.84521484375,17.7,56.2
Web and digital interface designer,Training and development specialist,0.8584141149920501,0.9443359375,0.88525390625,42.7,56.7
Software developer,Graphic designer,0.8582199459257469,0.96484375,0.86279296875,20.2,54.7
Architectural and engineering manager,Social and community service manager,0.858077066801486,0.9404296875,0.88916015625,12.8,71.7
Purchasing manager,Advertising sales agent,0.8579231969753589,0.9443359375,0.884765625,47.7,52.7
Project management specialist,Insurance underwriter,0.8574908960352875,0.9677734375,0.85888671875,47.3,56.9
Web and digital interface designer,Operations research analyst,0.8572930634016955,0.9541015625,0.87353515625,42.7,55.0
Web developer,Marketing manager,0.8569853237494414,0.9619140625,0.86474609375,19.4,62.4
Sales manager,Receptionist,0.8569706694802863,0.9560546875,0.87109375,33.1,89.1
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,0.8568149678705148,0.94287109375,0.88525390625,35.9,65.8
Lawyer,Paralegal,0.8566079763187011,0.974609375,0.8505859375,39.5,83.0
Architectural and engineering manager,Operations research analyst,0.8561683482440522,0.9296875,0.89892578125,12.8,55.0
Property assessor,Financial manager,0.8555565325068326,0.9794921875,0.84423828125,34.2,56.2
First-line supervisor of non-retail sales workers,Marketing specialist,0.8550784369756519,0.96826171875,0.85595703125,35.9,61.7
Operation manager,Social and community service manager,0.8546552949538024,0.9462890625,0.87939453125,37.1,71.7
Project management specialist,Payroll and timekeeping clerk,0.8545875189589607,0.96826171875,0.85546875,47.3,88.2
Purchasing manager,Insurance underwriter,0.8543512188688369,0.98828125,0.83349609375,47.7,56.9
Information security analyst,Marketing specialist,0.8531239238271089,0.9228515625,0.9033203125,19.3,61.7
Industrial production manager,Social and community service manager,0.8519900497512438,0.94384765625,0.87939453125,19.1,71.7
First-line supervisor of non-retail sales workers,Human resources worker,0.8514863092490419,0.955078125,0.86669921875,35.9,76.5
Information security analyst,Public relations manager,0.8513434301247811,0.9306640625,0.89306640625,19.3,66.4
Property assessor,Insurance underwriter,0.8513342712065592,0.97607421875,0.84375,34.2,56.9
Training and development manager,Advertising sales agent,0.8512628316444288,0.9638671875,0.85693359375,48.0,52.7
Personal financial advisor,Financial manager,0.8500685087082995,0.9443359375,0.876953125,32.6,56.2
Operation manager,Human resources worker,0.8498450311036863,0.953125,0.8671875,37.1,76.5
Computer systems analyst,Operations research analyst,0.8496215534990731,0.9619140625,0.857421875,37.8,55.0
Software developer,Human resources worker,0.8495775906916083,0.9443359375,0.87646484375,20.2,76.5
Building cleaner,Housekeeping cleaner,0.8494786743748122,0.9375,0.8837890625,38.7,88.4
Financial and investment analyst,Insurance sales agent,0.8490720184057621,0.9384765625,0.88232421875,43.9,54.9
Training and development manager,Insurance underwriter,0.8486690260040006,0.9736328125,0.84375,48.0,56.9
Training and development manager,Payroll and timekeeping clerk,0.8480498831322034,0.955078125,0.86328125,48.0,88.2
Postsecondary teacher,School psychologist,0.847280534001568,0.974609375,0.84130859375,46.6,87.9
Software developer,Training and development specialist,0.8472347394104587,0.93994140625,0.87890625,20.2,56.7
Purchasing manager,Public relations specialist,0.846884868734384,0.947265625,0.87060546875,47.7,76.2
Information security analyst,Marketing manager,0.8463902871504041,0.9130859375,0.9072265625,19.3,62.4
Industrial production manager,Accountant,0.8448662431582881,0.9580078125,0.85693359375,19.1,57.0
Food service manager,First-line supervisor of food preparation and serving workers,0.8448662431582881,0.9580078125,0.85693359375,46.7,53.5
Facilities manager,Social and human service assistant,0.8445401856695902,0.92578125,0.8916015625,23.4,75.3
Training and development manager,Operations research analyst,0.8444559236219491,0.9248046875,0.892578125,48.0,55.0
Information security analyst,Human resources worker,0.8444559236219491,0.9248046875,0.892578125,19.3,76.5
Purchasing manager,Receptionist,0.8439393606342367,0.947265625,0.86767578125,47.7,89.1
Operation manager,Operations research analyst,0.8436609295202926,0.966796875,0.84619140625,37.1,55.0
Management analyst,Executive secretary,0.8425087376079836,0.94775390625,0.86572265625,46.6,90.0
Operation manager,Administrative services manager,0.8423145685416804,0.96826171875,0.84326171875,37.1,74.0
Software quality tester,Marketing specialist,0.8420489599132468,0.9765625,0.833984375,44.1,61.7
Chemical technician,Medical scientist,0.8419756885674718,0.947265625,0.86572265625,35.0,51.8
Facilities manager,Receptionist,0.8419060807889859,0.9521484375,0.8603515625,23.4,89.1
Cost estimator,Marketing specialist,0.8418529590632992,0.97998046875,0.830078125,17.7,61.7
Computer network architect,Operations research analyst,0.8416569582133515,0.9833984375,0.826171875,7.7,55.0
Financial and investment analyst,Insurance claims and policy processing clerk,0.8415543783292667,0.9423828125,0.87060546875,43.9,80.1
Management analyst,Insurance claims and policy processing clerk,0.8414591255797594,0.9697265625,0.8408203125,46.6,80.1
Project management specialist,Social and human service assistant,0.8413968449358509,0.912109375,0.9033203125,47.3,75.3
Counter and rental clerk,Order clerk,0.8413950131522066,0.89501953125,0.921875,38.7,58.3
Purchasing manager,Executive secretary,0.8405450655412188,0.94775390625,0.86376953125,47.7,90.0
Training and development manager,Medical and health services manager,0.8402721297782076,0.8876953125,0.9287109375,48.0,71.8
First-line supervisor of non-retail sales workers,Marketing manager,0.840140241355813,0.9658203125,0.84375,35.9,62.4
Cost estimator,Marketing manager,0.8399314180203548,0.98046875,0.82763671875,17.7,62.4
Postsecondary teacher,Elementary and middle school teacher,0.8391144425149657,0.9482421875,0.86181640625,46.6,78.6
Electrical and electronic engineering technician,Operations research analyst,0.839096124678522,0.908203125,0.9052734375,11.6,55.0
Chemical technician,Biological scientist,0.8389056191795075,0.962890625,0.845703125,35.0,55.0
Training and development manager,First-line supervisor of office and administrative support workers,0.8386821415748943,0.9716796875,0.8359375,48.0,65.8
Project management specialist,Customer service representative,0.8381142886451396,0.908203125,0.904296875,47.3,65.3
Information security analyst,Human resources manager,0.837161761150067,0.919921875,0.890625,19.3,76.5
Cost estimator,Accountant,0.8371544340154895,0.982421875,0.82275390625,17.7,57.0
Postsecondary teacher,Teaching assistant,0.8367844137193268,0.9326171875,0.87646484375,46.6,79.5
Database administrator,Operations research analyst,0.8366635159987983,0.982421875,0.822265625,30.8,55.0
Software quality tester,Marketing manager,0.8365499454128473,0.9697265625,0.8359375,44.1,62.4
Management analyst,Receptionist,0.8362678507316144,0.955078125,0.8515625,46.6,89.1
Food service manager,Food preparation worker,0.8361945793858396,0.92578125,0.88330078125,46.7,58.7
Management analyst,Loan officer,0.8361835886839734,0.9541015625,0.8525390625,46.6,51.6
Sales manager,Real estate broker,0.8358611947625643,0.9560546875,0.85009765625,33.1,57.0
Operation manager,Accountant,0.8357073249364371,0.9599609375,0.845703125,37.1,57.0
Sales manager,Customer service representative,0.8354197349042709,0.89404296875,0.9169921875,33.1,65.3
First-line supervisor of non-retail sales workers,Payroll and timekeeping clerk,0.835370276745873,0.9560546875,0.849609375,35.9,88.2
Software quality tester,Human resources worker,0.8349782750459778,0.962890625,0.841796875,44.1,76.5
Information security analyst,Financial manager,0.834875695161893,0.921875,0.88623046875,19.3,56.2
Facilities manager,Public relations specialist,0.8343023468812052,0.93798828125,0.8681640625,23.4,76.2
First-line supervisor of non-retail sales workers,Training and development specialist,0.834093523545747,0.95263671875,0.85205078125,35.9,56.7
Project management specialist,First-line supervisor of office and administrative support workers,0.8338004381626477,0.96630859375,0.8369140625,47.3,65.8
Financial and investment analyst,Advertising sales agent,0.8337839521098485,0.943359375,0.86181640625,43.9,52.7
Facilities manager,Lodging manager,0.8335275023996366,0.90625,0.90185546875,23.4,61.6
First-line supervisor of non-retail sales workers,Insurance sales agent,0.8335201752650592,0.96875,0.833984375,35.9,54.9
Purchasing manager,Insurance sales agent,0.8333076883623121,0.94921875,0.85498046875,47.7,54.9
Management analyst,Customer service representative,0.8319704863019219,0.9052734375,0.9013671875,46.6,65.3
Industrial production manager,Insurance underwriter,0.8316957187552664,0.958984375,0.8427734375,19.1,56.9
Web and digital interface designer,Human resources worker,0.8315674939001605,0.9404296875,0.86279296875,42.7,76.5
Architectural and engineering manager,Insurance underwriter,0.8312744085170612,0.9541015625,0.84765625,12.8,56.9
Project management specialist,Executive secretary,0.8308384440097012,0.943359375,0.85888671875,47.3,90.0
Architectural and engineering manager,Medical and health services manager,0.830704723803662,0.87353515625,0.9345703125,12.8,71.8
Web developer,Operations research analyst,0.8306717516980635,0.95849609375,0.84228515625,19.4,55.0
Sales manager,Executive secretary,0.830501395819137,0.939453125,0.86279296875,33.1,90.0
Architectural and engineering manager,Insurance claims and policy processing clerk,0.8302486096762139,0.9365234375,0.86572265625,12.8,80.1
Software developer,Advertising sales agent,0.8302083104360378,0.953125,0.84765625,20.2,52.7
Facilities manager,Operations research analyst,0.8298566079763188,0.943359375,0.85791015625,23.4,55.0
Sales manager,Operations research analyst,0.8297723459286777,0.9423828125,0.85888671875,33.1,55.0
Architectural and engineering manager,Advertising sales agent,0.8296312985880612,0.93505859375,0.86669921875,12.8,52.7
Web and digital interface designer,Administrative services manager,0.8294755969782897,0.921875,0.880859375,42.7,74.0
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,0.8289828471779541,0.90478515625,0.89892578125,44.6,65.8
First-line supervisor of non-retail sales workers,Insurance claims and policy processing clerk,0.8289608657742217,0.96142578125,0.83740234375,35.9,80.1
Cost estimator,Insurance underwriter,0.828794173462584,0.9765625,0.82080078125,17.7,56.9
Materials engineer,Medical scientist,0.828581686559837,0.95703125,0.841796875,13.5,51.8
First-line supervisor of non-retail sales workers,Social and human service assistant,0.8280871049758571,0.9228515625,0.87841796875,35.9,75.3
Property assessor,Administrative services manager,0.8277976831600466,0.970703125,0.826171875,34.2,74.0
Property assessor,Accountant,0.8276987668432506,0.9638671875,0.83349609375,34.2,57.0
Training and development manager,Accountant,0.8276291590647646,0.96875,0.828125,48.0,57.0
Postsecondary teacher,Special education teacher,0.8274130085947289,0.9150390625,0.88623046875,46.6,86.6
First-line supervisor of retail sales workers,Order clerk,0.8267975292902204,0.9306640625,0.86865234375,44.6,58.3
First-line supervisor of non-retail sales workers,Human resources manager,0.8266729680024033,0.9462890625,0.8515625,35.9,76.5
Architectural and engineering manager,Public relations specialist,0.8266015284402728,0.93408203125,0.86474609375,12.8,76.2
Purchasing manager,Compliance officer,0.8258743103334579,0.9541015625,0.84228515625,47.7,51.8
Management analyst,Loan interviewer,0.8254401776097422,0.96044921875,0.8349609375,46.6,76.9
Painter,Artist,0.8253504202111681,0.908203125,0.8916015625,10.4,51.6
First-line supervisor of non-retail sales workers,Administrative services manager,0.8252405131925058,0.9296875,0.8681640625,35.9,74.0
Software developer,Accountant,0.8250023813187377,0.9326171875,0.86474609375,20.2,57.0
Operation manager,Training and development specialist,0.824949259593051,0.96044921875,0.83447265625,37.1,56.7
Sales manager,Loan interviewer,0.8248924743000754,0.9541015625,0.84130859375,33.1,76.9
Information security analyst,Insurance claims and policy processing clerk,0.8242861539137889,0.92431640625,0.873046875,19.3,80.1
Software developer,Public relations manager,0.8241615926259718,0.93994140625,0.85595703125,20.2,66.4
Architectural and engineering manager,Insurance sales agent,0.8241048073329963,0.93359375,0.86279296875,12.8,54.9
Operation manager,Compliance officer,0.8240791623619751,0.9560546875,0.83837890625,37.1,51.8
Property assessor,Training and development specialist,0.824009554583489,0.9609375,0.8330078125,34.2,56.7
Computer systems manager,Human resources manager,0.8239637599923797,0.92626953125,0.87060546875,27.7,76.5
Chemists and materials scientist,Medical scientist,0.8238556847573619,0.96484375,0.82861328125,36.0,51.8
Cost estimator,Human resources worker,0.8229031572622895,0.9765625,0.81494140625,17.7,76.5
Computer support specialist,Operations research analyst,0.8219194894452626,0.95947265625,0.83251953125,26.2,55.0
Electrical and electronics engineer,Operations research analyst,0.8216209087112303,0.921875,0.873046875,11.6,55.0
Materials engineer,Biological scientist,0.8214010946739059,0.96484375,0.826171875,13.5,55.0
Architectural and engineering manager,Accountant,0.8212453930641344,0.95166015625,0.84033203125,12.8,57.0
Software developer,Financial manager,0.8211721217183596,0.92236328125,0.8720703125,20.2,56.2
Software quality tester,Training and development specialist,0.8207269982927776,0.95703125,0.833984375,44.1,56.7
Chief executive,Financial manager,0.8206573905142915,0.9619140625,0.82861328125,30.6,56.2
Management analyst,Real estate broker,0.8204449036115447,0.9423828125,0.849609375,46.6,57.0
Sales manager,Insurance claims and policy processing clerk,0.8203899501022135,0.953125,0.837890625,33.1,80.1
Web and digital interface designer,Advertising sales agent,0.8203056880545725,0.9521484375,0.8388671875,42.7,52.7
Project management specialist,Medical and health services manager,0.820199444603199,0.876953125,0.92041015625,47.3,71.8
Web and digital interface designer,Public relations manager,0.8201921174686215,0.939453125,0.8525390625,42.7,66.4
Financial and investment analyst,Tax preparer,0.8197451622593952,0.95703125,0.8330078125,43.9,66.3
Sales manager,Social and human service assistant,0.8196572366444654,0.921875,0.87109375,33.1,75.3
Web and digital interface designer,Insurance claims and policy processing clerk,0.8193952915833205,0.96435546875,0.82470703125,42.7,80.1
Property assessor,Tax preparer,0.819254244242704,0.95703125,0.83251953125,34.2,66.3
Counter and rental clerk,Payroll and timekeeping clerk,0.8191626550604856,0.8876953125,0.90771484375,38.7,88.2
Database administrator,Human resources worker,0.8190417573399571,0.9375,0.853515625,30.8,76.5
Financial and investment analyst,Payroll and timekeeping clerk,0.8186497556400618,0.9443359375,0.845703125,43.9,88.2
Software developer,Human resources manager,0.8185361850541109,0.931640625,0.859375,20.2,76.5
First-line supervisor of non-retail sales workers,Advertising sales agent,0.8184555865737586,0.96484375,0.8232421875,35.9,52.7
Facilities manager,Accountant,0.8182724082093216,0.95703125,0.83154296875,23.4,57.0
Management analyst,Payroll and timekeeping clerk,0.8182174546999905,0.9677734375,0.81982421875,46.6,88.2
Web developer,Human resources worker,0.8181588376233706,0.9443359375,0.84521484375,19.4,76.5
First-line supervisor of non-retail sales workers,Order clerk,0.8180727437920852,0.92626953125,0.86474609375,35.9,58.3
Architectural and engineering manager,Real estate broker,0.8175836575590384,0.943359375,0.845703125,12.8,57.0
Industrial production manager,Advertising sales agent,0.8174700869730874,0.9306640625,0.859375,19.1,52.7
Financial and investment analyst,Loan officer,0.8174169652474007,0.95849609375,0.8291015625,43.9,51.6
Project management specialist,Graphic designer,0.8171495248353227,0.94970703125,0.83837890625,47.3,54.7
Financial and investment analyst,Public relations specialist,0.8169645146872413,0.9248046875,0.865234375,43.9,76.2
Web and digital interface designer,Human resources manager,0.8169370379325758,0.93017578125,0.859375,42.7,76.5
Facilities manager,Insurance underwriter,0.8165193912616593,0.95947265625,0.8271484375,23.4,56.9
Training and development manager,Supervisor of personal care and service workers,0.8160119871921687,0.9365234375,0.8515625,48.0,65.8
Occupational health and safety specialist,Human resources worker,0.815993669355725,0.896484375,0.89501953125,17.9,76.5
Computer systems manager,Administrative services manager,0.815676770785249,0.94970703125,0.8369140625,27.7,74.0
Property assessor,Human resources worker,0.8156346397614285,0.94921875,0.83740234375,34.2,76.5
Computer systems manager,Operations research analyst,0.8154404706951253,0.9697265625,0.81494140625,27.7,55.0
Training and development manager,Substance abuse and behavioral disorder counselor,0.8153287318928186,0.97412109375,0.81005859375,48.0,78.1
Operation manager,Public relations specialist,0.8153085822727306,0.9169921875,0.8720703125,37.1,76.2
Property assessor,Real estate broker,0.8150997589372724,0.931640625,0.85595703125,34.2,57.0
Project management specialist,Receptionist,0.8148359820924831,0.95703125,0.828125,47.3,89.1
Management analyst,First-line supervisor of office and administrative support workers,0.8148085053378176,0.96240234375,0.822265625,46.6,65.8
First-line supervisor of non-retail sales workers,Customer service representative,0.8144384850416548,0.91259765625,0.8759765625,35.9,65.3
Facilities manager,Compliance officer,0.8144000175851229,0.9462890625,0.83935546875,23.4,51.8
Project management specialist,Real estate broker,0.8144000175851229,0.9462890625,0.83935546875,47.3,57.0
Industrial production manager,Public relations specialist,0.8142424841917071,0.916015625,0.8720703125,19.1,76.2
Aerospace engineer,Operations research analyst,0.8136856219638187,0.955078125,0.8291015625,15.2,55.0
Occupational health and safety specialist,Training and development specialist,0.813524425003114,0.890625,0.89892578125,17.9,56.7
Facilities manager,Medical and health services manager,0.8134401629554731,0.8896484375,0.89990234375,23.4,71.8
