job_male,job_female,similarity,job_male_ratio,job_female_ratio
Food service manager,Human resources manager,0.90087890625,46.7,76.5
Facilities manager,Medical and health services manager,0.89990234375,23.4,71.8
Training and development manager,Human resources worker,0.89990234375,48.0,76.5
Management analyst,Administrative services manager,0.8994140625,46.6,74.0
Counter and rental clerk,Customer service representative,0.8994140625,38.7,65.3
Facilities manager,Social and community service manager,0.89892578125,23.4,71.7
Industrial production manager,Financial manager,0.89892578125,19.1,56.2
Architectural and engineering manager,Operations research analyst,0.89892578125,12.8,55.0
Occupational health and safety specialist,Training and development specialist,0.89892578125,17.9,56.7
First-line supervisor of retail sales workers,First-line supervisor of office and administrative support workers,0.89892578125,44.6,65.8
Industrial production manager,Operations research analyst,0.8984375,19.1,55.0
Food service manager,Marketing manager,0.8984375,46.7,62.4
Food service manager,Lodging manager,0.8984375,46.7,61.6
Management analyst,Medical and health services manager,0.8984375,46.6,71.8
Financial and investment analyst,Administrative services manager,0.89794921875,43.9,74.0
First-line supervisor of non-retail sales workers,First-line supervisor of office and administrative support workers,0.89794921875,35.9,65.8
Industrial production manager,Medical and health services manager,0.8974609375,19.1,71.8
Architectural and engineering manager,Marketing specialist,0.8974609375,12.8,61.7
Operation manager,Financial manager,0.89697265625,37.1,56.2
Food service manager,Social and community service manager,0.89697265625,46.7,71.7
Management analyst,Training and development specialist,0.89697265625,46.6,56.7
Financial and investment analyst,Marketing manager,0.89599609375,43.9,62.4
Electrical and electronic engineering technician,Administrative services manager,0.89599609375,11.6,74.0
Sales manager,Medical and health services manager,0.89501953125,33.1,71.8
Sales manager,Human resources worker,0.89501953125,33.1,76.5
Facilities manager,Human resources worker,0.89501953125,23.4,76.5
Occupational health and safety specialist,Human resources worker,0.89501953125,17.9,76.5
Sales manager,Social and community service manager,0.89453125,33.1,71.7
Purchasing manager,Customer service representative,0.89453125,47.7,65.3
Architectural and engineering manager,Human resources worker,0.89404296875,12.8,76.5
Sales manager,Administrative services manager,0.8935546875,33.1,74.0
Sales manager,Insurance sales agent,0.8935546875,33.1,54.9
Facilities manager,Marketing specialist,0.8935546875,23.4,61.7
Construction manager,Marketing specialist,0.8935546875,10.6,61.7
Financial and investment analyst,Marketing specialist,0.8935546875,43.9,61.7
Industrial production manager,Marketing specialist,0.89306640625,19.1,61.7
Purchasing manager,Human resources worker,0.89306640625,47.7,76.5
Information security analyst,Public relations manager,0.89306640625,19.3,66.4
Electrical and electronic engineering technician,Medical and health services manager,0.89306640625,11.6,71.8
First-line supervisor of production and operating workers,First-line supervisor of office and administrative support workers,0.89306640625,23.5,65.8
Training and development manager,Operations research analyst,0.892578125,48.0,55.0
Food service manager,Customer service representative,0.892578125,46.7,65.3
Information security analyst,Human resources worker,0.892578125,19.3,76.5
Construction manager,Financial manager,0.89208984375,10.6,56.2
Construction manager,Human resources worker,0.89208984375,10.6,76.5
Chemical engineer,Medical scientist,0.89208984375,21.6,51.8
Facilities manager,Social and human service assistant,0.8916015625,23.4,75.3
Construction manager,Medical and health services manager,0.8916015625,10.6,71.8
Painter,Artist,0.8916015625,10.4,51.6
Software developer,Operations research analyst,0.89111328125,20.2,55.0
Industrial production manager,Public relations manager,0.890625,19.1,66.4
Industrial production manager,Administrative services manager,0.890625,19.1,74.0
Information security analyst,Human resources manager,0.890625,19.3,76.5
Software developer,Marketing specialist,0.890625,20.2,61.7
Sales manager,Public relations specialist,0.89013671875,33.1,76.2
Training and development manager,Financial manager,0.89013671875,48.0,56.2
Training and development manager,Social and community service manager,0.89013671875,48.0,71.7
Financial and investment analyst,Medical and health services manager,0.89013671875,43.9,71.8
Information security analyst,Customer service representative,0.8896484375,19.3,65.3
Architectural and engineering manager,Social and community service manager,0.88916015625,12.8,71.7
Counter and rental clerk,Social and human service assistant,0.88916015625,38.7,75.3
Postal service mail carrier,Postal service clerk,0.88916015625,34.7,54.1
Sales manager,Lodging manager,0.88818359375,33.1,61.6
Facilities manager,Financial manager,0.88818359375,23.4,56.2
Training and development manager,Customer service representative,0.8876953125,48.0,65.3
Food service manager,Public relations manager,0.88720703125,46.7,66.4
Information security analyst,Public relations specialist,0.88720703125,19.3,76.2
Dentist,Dental hygienist,0.88720703125,39.5,95.7
Operation manager,Marketing specialist,0.88671875,37.1,61.7
Construction manager,Public relations manager,0.88671875,10.6,66.4
Construction manager,Social and community service manager,0.88671875,10.6,71.7
Occupational health and safety specialist,Administrative services manager,0.88671875,17.9,74.0
Information security analyst,Financial manager,0.88623046875,19.3,56.2
Postsecondary teacher,Special education teacher,0.88623046875,46.6,86.6
First-line supervisor of retail sales workers,Supervisor of personal care and service workers,0.88623046875,44.6,65.8
Purchasing manager,Social and community service manager,0.8857421875,47.7,71.7
Food service manager,Human resources worker,0.8857421875,46.7,76.5
Food service manager,Training and development specialist,0.8857421875,46.7,56.7
Management analyst,Accountant,0.88525390625,46.6,57.0
Information security analyst,Social and human service assistant,0.88525390625,19.3,75.3
Web and digital interface designer,Training and development specialist,0.88525390625,42.7,56.7
Occupational health and safety specialist,Marketing manager,0.88525390625,17.9,62.4
Occupational health and safety specialist,Financial manager,0.88525390625,17.9,56.2
Postsecondary teacher,Secondary school teacher,0.88525390625,46.6,56.9
Emergency medical technician,Medical appliance technician,0.88525390625,39.4,58.9
First-line supervisor of retail sales workers,First-line supervisor of food preparation and serving workers,0.88525390625,44.6,53.5
First-line supervisor of non-retail sales workers,Supervisor of personal care and service workers,0.88525390625,35.9,65.8
Purchasing manager,Advertising sales agent,0.884765625,47.7,52.7
Management analyst,Lodging manager,0.884765625,46.6,61.6
Software developer,Marketing manager,0.884765625,20.2,62.4
Food service manager,Marketing specialist,0.88427734375,46.7,61.7
Web and digital interface designer,Marketing specialist,0.88427734375,42.7,61.7
Chemical technician,Pharmacy technician,0.88427734375,35.0,79.3
Operation manager,Human resources manager,0.8837890625,37.1,76.5
Project management specialist,Lodging manager,0.8837890625,47.3,61.6
Occupational health and safety specialist,Marketing specialist,0.8837890625,17.9,61.7
Building cleaner,Housekeeping cleaner,0.8837890625,38.7,88.4
Industrial production manager,Training and development specialist,0.88330078125,19.1,56.7
Food service manager,Food preparation worker,0.88330078125,46.7,58.7
Facilities manager,Training and development specialist,0.8828125,23.4,56.7
Information security analyst,Social and community service manager,0.8828125,19.3,71.7
Sales manager,Training and development specialist,0.88232421875,33.1,56.7
Architectural and engineering manager,Social and human service assistant,0.88232421875,12.8,75.3
Financial and investment analyst,Insurance sales agent,0.88232421875,43.9,54.9
Counter and rental clerk,Administrative services manager,0.88232421875,38.7,74.0
Counter and rental clerk,Postal service clerk,0.88232421875,38.7,54.1
Operation manager,Public relations manager,0.88134765625,37.1,66.4
Management analyst,Social and human service assistant,0.88134765625,46.6,75.3
Web and digital interface designer,Marketing manager,0.88134765625,42.7,62.4
Emergency medical technician,Ophthalmic medical technician,0.88134765625,39.4,73.7
Purchasing manager,Medical and health services manager,0.880859375,47.7,71.8
Construction manager,Lodging manager,0.880859375,10.6,61.6
Web and digital interface designer,Administrative services manager,0.880859375,42.7,74.0
Training and development manager,Insurance claims and policy processing clerk,0.88037109375,48.0,80.1
Chemical technician,Psychiatric technician,0.88037109375,35.0,69.5
Occupational health and safety specialist,Operations research analyst,0.88037109375,17.9,55.0
Emergency medical technician,Miscellaneous health technician,0.88037109375,39.4,72.7
Emergency medical technician,Public safety telecommunicator,0.88037109375,39.4,78.2
Retail salesperson,Customer service representative,0.88037109375,49.2,65.3
Operation manager,Social and community service manager,0.87939453125,37.1,71.7
Training and development manager,Lodging manager,0.87939453125,48.0,61.6
Industrial production manager,Social and community service manager,0.87939453125,19.1,71.7
Construction manager,Administrative services manager,0.87939453125,10.6,74.0
Software developer,Training and development specialist,0.87890625,20.2,56.7
First-line supervisor of non-retail sales workers,Social and human service assistant,0.87841796875,35.9,75.3
Architectural and engineering manager,Lodging manager,0.8779296875,12.8,61.6
Architectural and engineering manager,Customer service representative,0.8779296875,12.8,65.3
Financial and investment analyst,Insurance underwriter,0.87744140625,43.9,56.9
Emergency medical technician,Clinical laboratory technician,0.87744140625,39.4,76.3
First-line supervisor of retail sales workers,Social and human service assistant,0.87744140625,44.6,75.3
Purchasing manager,Lodging manager,0.876953125,47.7,61.6
Personal financial advisor,Financial manager,0.876953125,32.6,56.2
Web developer,Marketing specialist,0.876953125,19.4,61.7
Software developer,Human resources worker,0.87646484375,20.2,76.5
Electrical and electronic engineering technician,Psychiatric technician,0.87646484375,11.6,69.5
Postsecondary teacher,Teaching assistant,0.87646484375,46.6,79.5
First-line supervisor of retail sales workers,Customer service representative,0.87646484375,44.6,65.3
Facilities manager,Customer service representative,0.8759765625,23.4,65.3
Financial and investment analyst,Human resources worker,0.8759765625,43.9,76.5
Electrical and electronic engineering technician,Radiologic technician,0.8759765625,11.6,70.3
Electrical and electronic engineering technician,Medical appliance technician,0.8759765625,11.6,58.9
First-line supervisor of non-retail sales workers,Customer service representative,0.8759765625,35.9,65.3
Counter and rental clerk,Billing and posting clerk,0.87548828125,38.7,91.4
Transportation service attendant,Human resources worker,0.87548828125,23.4,76.5
Occupational health and safety specialist,Social and human service assistant,0.875,17.9,75.3
First-line supervisor of production and operating workers,First-line supervisor of food preparation and serving workers,0.875,23.5,53.5
Project management specialist,Insurance claims and policy processing clerk,0.87451171875,47.3,80.1
Financial and investment analyst,Public relations manager,0.87451171875,43.9,66.4
Occupational health and safety specialist,Human resources manager,0.87451171875,17.9,76.5
Counter and rental clerk,Insurance claims and policy processing clerk,0.87451171875,38.7,80.1
Purchasing manager,Administrative services manager,0.8740234375,47.7,74.0
First-line supervisor of non-retail sales workers,First-line supervisor of food preparation and serving workers,0.8740234375,35.9,53.5
Web and digital interface designer,Operations research analyst,0.87353515625,42.7,55.0
Occupational health and safety specialist,Customer service representative,0.87353515625,17.9,65.3
Emergency medical technician,Medical assistant,0.87353515625,39.4,88.8
Information security analyst,Insurance claims and policy processing clerk,0.873046875,19.3,80.1
Electrical and electronics engineer,Operations research analyst,0.873046875,11.6,55.0
Chemical technician,Clinical laboratory technician,0.873046875,35.0,76.3
First-line supervisor of retail sales workers,Human resources worker,0.873046875,44.6,76.5
Counter and rental clerk,File Clerk,0.873046875,38.7,76.0
Industrial production manager,Customer service representative,0.87255859375,19.1,65.3
Financial and investment analyst,Human resources manager,0.87255859375,43.9,76.5
Financial and investment analyst,Customer service representative,0.87255859375,43.9,65.3
Operation manager,Public relations specialist,0.8720703125,37.1,76.2
Industrial production manager,Public relations specialist,0.8720703125,19.1,76.2
Construction manager,Training and development specialist,0.8720703125,10.6,56.7
Software developer,Financial manager,0.8720703125,20.2,56.2
Chemical technician,Human resources worker,0.8720703125,35.0,76.5
Occupational health and safety specialist,Public relations manager,0.87158203125,17.9,66.4
Sales manager,Social and human service assistant,0.87109375,33.1,75.3
Sales manager,Receptionist,0.87109375,33.1,89.1
Electrical and electronic engineering technician,Social and human service assistant,0.87109375,11.6,75.3
Retail salesperson,Marketing specialist,0.87109375,49.2,61.7
Computer systems manager,Human resources manager,0.87060546875,27.7,76.5
Purchasing manager,Public relations specialist,0.87060546875,47.7,76.2
Purchasing manager,Order clerk,0.87060546875,47.7,58.3
Financial and investment analyst,Insurance claims and policy processing clerk,0.87060546875,43.9,80.1
Electrical and electronic engineering technician,Human resources worker,0.87060546875,11.6,76.5
Occupational health and safety specialist,Social and community service manager,0.8701171875,17.9,71.7
Project management specialist,Insurance sales agent,0.86962890625,47.3,54.9
First-line supervisor of retail sales workers,Social and community service manager,0.86962890625,44.6,71.7
Project management specialist,Psychiatric technician,0.869140625,47.3,69.5
Occupational health and safety specialist,Insurance underwriter,0.869140625,17.9,56.9
Wastewater treatment system operator,Operations research analyst,0.869140625,7.3,55.0
Sales manager,Accountant,0.86865234375,33.1,57.0
Management analyst,Advertising sales agent,0.86865234375,46.6,52.7
Web developer,Graphic designer,0.86865234375,19.4,54.7
Occupational health and safety specialist,Insurance sales agent,0.86865234375,17.9,54.9
Lawyer,Accountant,0.86865234375,39.5,57.0
First-line supervisor of retail sales workers,Order clerk,0.86865234375,44.6,58.3
Facilities manager,Public relations specialist,0.8681640625,23.4,76.2
Project management specialist,Advertising sales agent,0.8681640625,47.3,52.7
Electrical and electronic engineering technician,Marketing manager,0.8681640625,11.6,62.4
Electrical and electronic engineering technician,Clinical laboratory technician,0.8681640625,11.6,76.3
First-line supervisor of non-retail sales workers,Administrative services manager,0.8681640625,35.9,74.0
Cutting worker,Food preparation worker,0.8681640625,31.1,58.7
Purchasing manager,Receptionist,0.86767578125,47.7,89.1
Financial and investment analyst,Accountant,0.86767578125,43.9,57.0
Transportation service attendant,Social and human service assistant,0.86767578125,23.4,75.3
Operation manager,Human resources worker,0.8671875,37.1,76.5
Training and development manager,Public relations specialist,0.8671875,48.0,76.2
Management analyst,Insurance underwriter,0.8671875,46.6,56.9
Computer support specialist,Customer service representative,0.8671875,26.2,65.3
Retail salesperson,Advertising sales agent,0.8671875,49.2,52.7
Cutting worker,Human resources worker,0.8671875,31.1,76.5
Industrial production manager,Social and human service assistant,0.86669921875,19.1,75.3
Construction manager,Customer service representative,0.86669921875,10.6,65.3
Architectural and engineering manager,Advertising sales agent,0.86669921875,12.8,52.7
First-line supervisor of non-retail sales workers,Human resources worker,0.86669921875,35.9,76.5
Sales manager,Loan officer,0.8662109375,33.1,51.6
Facilities manager,Entertainment and recreation manager,0.8662109375,23.4,50.1
Occupational health and safety specialist,Psychiatric technician,0.8662109375,17.9,69.5
Architectural and engineering manager,Insurance claims and policy processing clerk,0.86572265625,12.8,80.1
Management analyst,Executive secretary,0.86572265625,46.6,90.0
Information security analyst,Insurance underwriter,0.86572265625,19.3,56.9
Electrical and electronic engineering technician,Ophthalmic medical technician,0.86572265625,11.6,73.7
Chemical technician,Medical scientist,0.86572265625,35.0,51.8
Emergency medical technician,Licensed practical nurse,0.86572265625,39.4,88.7
Printing press operator,Sewing machine operator,0.86572265625,24.7,70.7
Financial and investment analyst,Public relations specialist,0.865234375,43.9,76.2
Occupational health and safety specialist,Public relations specialist,0.865234375,17.9,76.2
First-line supervisor of retail sales workers,Administrative services manager,0.865234375,44.6,74.0
Wastewater treatment system operator,Training and development specialist,0.865234375,7.3,56.7
Operation manager,Medical and health services manager,0.86474609375,37.1,71.8
Architectural and engineering manager,Public relations specialist,0.86474609375,12.8,76.2
Management analyst,Insurance sales agent,0.86474609375,46.6,54.9
Information security analyst,Psychiatric technician,0.86474609375,19.3,69.5
Information security analyst,Insurance sales agent,0.86474609375,19.3,54.9
Software developer,Accountant,0.86474609375,20.2,57.0
Web developer,Marketing manager,0.86474609375,19.4,62.4
First-line supervisor of retail sales workers,Marketing specialist,0.86474609375,44.6,61.7
First-line supervisor of non-retail sales workers,Order clerk,0.86474609375,35.9,58.3
Web and digital interface designer,Social and community service manager,0.8642578125,42.7,71.7
Purchasing manager,Executive secretary,0.86376953125,47.7,90.0
Construction manager,Operations research analyst,0.86376953125,10.6,55.0
Emergency medical technician,Physician assistant,0.86376953125,39.4,68.8
Counter and rental clerk,Training and development specialist,0.86376953125,38.7,56.7
Training and development manager,Payroll and timekeeping clerk,0.86328125,48.0,88.2
Food service manager,Supervisor of personal care and service workers,0.86328125,46.7,65.8
Materials engineer,Human resources worker,0.86328125,13.5,76.5
Sales manager,Executive secretary,0.86279296875,33.1,90.0
Architectural and engineering manager,Insurance sales agent,0.86279296875,12.8,54.9
Software developer,Graphic designer,0.86279296875,20.2,54.7
Web and digital interface designer,Human resources worker,0.86279296875,42.7,76.5
Chemical engineer,Biological scientist,0.86279296875,21.6,55.0
Occupational health and safety specialist,Advertising sales agent,0.8623046875,17.9,52.7
Operation manager,Lodging manager,0.86181640625,37.1,61.6
Industrial production manager,Food preparation worker,0.86181640625,19.1,58.7
Purchasing manager,Accountant,0.86181640625,47.7,57.0
Construction manager,Public relations specialist,0.86181640625,10.6,76.2
Food service manager,Financial manager,0.86181640625,46.7,56.2
Financial and investment analyst,Advertising sales agent,0.86181640625,43.9,52.7
Software developer,Customer service representative,0.86181640625,20.2,65.3
Postsecondary teacher,Elementary and middle school teacher,0.86181640625,46.6,78.6
First-line supervisor of non-retail sales workers,Medical and health services manager,0.86181640625,35.9,71.8
Counter and rental clerk,Human resources worker,0.86181640625,38.7,76.5
Counter and rental clerk,Insurance sales agent,0.86181640625,38.7,54.9
Wastewater treatment system operator,Administrative services manager,0.86181640625,7.3,74.0
Food service manager,Order clerk,0.861328125,46.7,58.3
Financial and investment analyst,Social and human service assistant,0.861328125,43.9,75.3
Web and digital interface designer,Social and human service assistant,0.861328125,42.7,75.3
Electrical and electronic engineering technician,Marketing specialist,0.861328125,11.6,61.7
First-line supervisor of non-retail sales workers,Social and community service manager,0.861328125,35.9,71.7
Construction equipment operator,Operations research analyst,0.861328125,1.0,55.0
Training and development manager,Insurance sales agent,0.86083984375,48.0,54.9
Software developer,Social and community service manager,0.86083984375,20.2,71.7
First-line supervisor of retail sales workers,Medical and health services manager,0.86083984375,44.6,71.8
Counter and rental clerk,Medical and health services manager,0.86083984375,38.7,71.8
Automotive service mechanic,Medical appliance technician,0.86083984375,2.5,58.9
Facilities manager,Receptionist,0.8603515625,23.4,89.1
Software developer,Administrative services manager,0.8603515625,20.2,74.0
Training and development manager,Executive secretary,0.85986328125,48.0,90.0
Project management specialist,Healthcare social worker,0.85986328125,47.3,77.9
Software developer,Public relations specialist,0.85986328125,20.2,76.2
Materials engineer,Financial manager,0.85986328125,13.5,56.2
Emergency medical technician,Pharmacy technician,0.85986328125,39.4,79.3
First-line supervisor of security workers,First-line supervisor of office and administrative support workers,0.85986328125,22.5,65.8
Industrial production manager,Advertising sales agent,0.859375,19.1,52.7
Software developer,Human resources manager,0.859375,20.2,76.5
Web and digital interface designer,Human resources manager,0.859375,42.7,76.5
Materials engineer,Marketing specialist,0.859375,13.5,61.7
First-line supervisor of housekeeping and janitorial workers,First-line supervisor of food preparation and serving workers,0.859375,44.1,53.5
Sales manager,Operations research analyst,0.85888671875,33.1,55.0
Food service manager,Operations research analyst,0.85888671875,46.7,55.0
Project management specialist,Insurance underwriter,0.85888671875,47.3,56.9
Project management specialist,Executive secretary,0.85888671875,47.3,90.0
Financial and investment analyst,Social and community service manager,0.85888671875,43.9,71.7
Web and digital interface designer,Customer service representative,0.85888671875,42.7,65.3
Electrical and electronic engineering technician,Financial manager,0.85888671875,11.6,56.2
Emergency medical technician,Registered nurse,0.85888671875,39.4,87.4
Industrial production manager,Psychiatric technician,0.8583984375,19.1,69.5
Food service manager,Payroll and timekeeping clerk,0.8583984375,46.7,88.2
Cook,Baker,0.8583984375,39.8,65.5
Transportation service attendant,Customer service representative,0.8583984375,23.4,65.3
Chief executive,Executive secretary,0.85791015625,30.6,90.0
Facilities manager,Operations research analyst,0.85791015625,23.4,55.0
Purchasing manager,Social and human service assistant,0.85791015625,47.7,75.3
Food service manager,Public relations specialist,0.85791015625,46.7,76.2
Materials engineer,Operations research analyst,0.85791015625,13.5,55.0
Counter and rental clerk,Receptionist,0.85791015625,38.7,89.1
Industrial production manager,Lodging manager,0.857421875,19.1,61.6
Computer systems analyst,Operations research analyst,0.857421875,37.8,55.0
Training and development manager,Advertising sales agent,0.85693359375,48.0,52.7
Industrial production manager,Accountant,0.85693359375,19.1,57.0
Food service manager,First-line supervisor of food preparation and serving workers,0.85693359375,46.7,53.5
Web and digital interface designer,Medical and health services manager,0.85693359375,42.7,71.8
Network and computer systems administrator,Administrative services manager,0.85693359375,16.7,74.0
Electrical and electronic engineering technician,Customer service representative,0.85693359375,11.6,65.3
Retail salesperson,Public relations specialist,0.85693359375,49.2,76.2
Sales manager,Order clerk,0.8564453125,33.1,58.3
Purchasing manager,Loan officer,0.8564453125,47.7,51.6
Construction manager,Real estate broker,0.8564453125,10.6,57.0
Materials engineer,Marketing manager,0.8564453125,13.5,62.4
Training and development manager,Psychiatric technician,0.85595703125,48.0,69.5
Property assessor,Real estate broker,0.85595703125,34.2,57.0
Information security analyst,Healthcare social worker,0.85595703125,19.3,77.9
Software developer,Public relations manager,0.85595703125,20.2,66.4
Database administrator,Human resources manager,0.85595703125,30.8,76.5
First-line supervisor of non-retail sales workers,Marketing specialist,0.85595703125,35.9,61.7
Transportation service attendant,Administrative services manager,0.85595703125,23.4,74.0
Facilities manager,Executive secretary,0.85546875,23.4,90.0
Project management specialist,Payroll and timekeeping clerk,0.85546875,47.3,88.2
Management analyst,Medical records specialist,0.85546875,46.6,88.9
Information security analyst,Lodging manager,0.85546875,19.3,61.6
Chemical technician,Miscellaneous health technician,0.85546875,35.0,72.7
First-line supervisor of retail sales workers,Postal service clerk,0.85546875,44.6,54.1
Purchasing manager,Insurance sales agent,0.85498046875,47.7,54.9
Software developer,Medical and health services manager,0.85498046875,20.2,71.8
Emergency medical technician,Medical scientist,0.85498046875,39.4,51.8
Emergency medical technician,Radiologic technician,0.85498046875,39.4,70.3
Transportation service attendant,Medical and health services manager,0.85498046875,23.4,71.8
Architectural and engineering manager,Executive secretary,0.8544921875,12.8,90.0
Mechanical engineer,Biological scientist,0.8544921875,10.1,55.0
Electrical and electronic engineering technician,Insurance claims and policy processing clerk,0.8544921875,11.6,80.1
Emergency medical technician,Psychiatric technician,0.8544921875,39.4,69.5
Emergency medical technician,Surgical technologist,0.8544921875,39.4,76.9
First-line supervisor of retail sales workers,Human resources manager,0.8544921875,44.6,76.5
Wastewater treatment system operator,Medical and health services manager,0.8544921875,7.3,71.8
Construction manager,Social and human service assistant,0.85400390625,10.6,75.3
Project management specialist,Accountant,0.85400390625,47.3,57.0
Counter and rental clerk,Social and community service manager,0.85400390625,38.7,71.7
Transportation service attendant,Social and community service manager,0.85400390625,23.4,71.7
Operation manager,Customer service representative,0.853515625,37.1,65.3
Database administrator,Human resources worker,0.853515625,30.8,76.5
Chemical technician,Medical and health services manager,0.853515625,35.0,71.8
Chemical technician,Marketing specialist,0.853515625,35.0,61.7
Wastewater treatment system operator,Supervisor of personal care and service workers,0.853515625,7.3,65.8
Operation manager,Executive secretary,0.85302734375,37.1,90.0
Training and development manager,Childcare administrator,0.85302734375,48.0,68.6
Chemical technician,Veterinary technician,0.85302734375,35.0,89.9
Counter and rental clerk,Lodging manager,0.85302734375,38.7,61.6
Retail salesperson,Marketing manager,0.85302734375,49.2,62.4
Facilities manager,Supervisor of personal care and service workers,0.8525390625,23.4,65.8
Computer systems manager,Human resources worker,0.8525390625,27.7,76.5
Industrial production manager,Insurance sales agent,0.8525390625,19.1,54.9
Purchasing manager,Training and development specialist,0.8525390625,47.7,56.7
Project management specialist,Medical records specialist,0.8525390625,47.3,88.9
Management analyst,Loan officer,0.8525390625,46.6,51.6
Financial and investment analyst,Psychiatric technician,0.8525390625,43.9,69.5
Web and digital interface designer,Public relations manager,0.8525390625,42.7,66.4
Occupational health and safety specialist,Healthcare social worker,0.8525390625,17.9,77.9
Emergency medical technician,Veterinary technician,0.8525390625,39.4,89.9
Retail salesperson,Human resources worker,0.8525390625,49.2,76.5
Software quality tester,Operations research analyst,0.85205078125,44.1,55.0
